id,rating,comment,booking_id,facility_id
59,5,"Wah, Ubin Living Lab - Dormitory (Tengar) in Pulau Ubin solid! Minus the usual city noise and skyscrapers lor, it's all nature here. Place clean and tidy. Stay here sleeping soundly like a baby. Good place for bonding, best for learning about nature and conservation. Camping but with comfy bed and electricity. Really an atas kampung style. Confirm plus chop, we are booking again. Rating 5/5!",59,98
61,4,"Love BBQ Pit 65 at Pasir Ris Park! Easy to book, near carpark, but not too near playground so smoke won't spoil the kids fun. Only thing is the pit not deep enough. Thumbs up for the clean surrounding!",61,210
63,1,"Really disappointed with BBQ Pit 29 at Pasir Ris Park leh. The place quite run-down lah, not well-maintained. Grill so rusty, I scared I eat my satay also will get iron overdose. The bin also very full till overflowing, super dirty and got a lot of flies. Tables and chairs also not steady, keep shaking. Quite dangerous if got small kids. And the pit dun have enough light at night, quite dark, cannot see clearly. Must really buck up, NParks!",63,174
64,5,"Wah, this BBQ Pit 5 at Labrador Nature Reserve really power lah! The pit is big enough for our whole kampung to BBQ. The view also shiok, can see the greenery and sea. Toilet facilities also not bad, quite clean. Plus this place got plenty of shade, won't feel the heat. Really enjoy our makan session here, confirm will come again!",64,109
65,4,"East Coast Park BBQ Pit 62 is a solid choice for barbecue lovers! Near to the beach leh, super relaxing feel plus good sea breeze. The pit efficient, easy to start fire and grill the food. Super satisfy! But warn you first ah, there's a fair amount of people at night one, so better book early to get this pit. Only bad thing is the nearest toilet a bit far. So if waikao pangseh you, you have to make a long walk. But overall, can recommend this one. Rating is 4.",65,65
71,2,"BBQ Pit 37 at Pasir Ris Park not bad but got some areas can improve lah. First thing, location quite far from carpark, not very convenient especially if you got a lot of things to carry. Second thing, pit kind of old already, poles shaky shaky one. And near our pit got a lot of mosquitoes, must remember to bring insect repellent. Not the best experience leh, hope they can update and clean the facilities better.",71,182
75,4,"Ficus Green at Bishan-Ang Mo Kio Park really nice ho! Got plenty of shady trees to block the hot sun, super relaxing. The grass also tang leh, good for having picnic or chit-chat with friends. One negative maybe no public toilet around, kena jalan a bit to find. But overall not bad leh! That's why I give 4 stars!",75,89
76,5,"Pit 43 at East Coast Park is super shiok! Not too crowded and close to car parking. Considered clean siol, got dustbin nearby also so very convenient. The beach is nearby only, the view while cooking is top class. Confirm plus chop you'll enjoy! BBQ Pit 43, best i tell you! 5-stars lah no kidding! Highly recommend!",76,46
78,5,"Sibei solid! Pasir Ris Park BBQ Pit 54 super good sia. The pit big big one, can BBQ a lot of stuff at the same time. Clean and well maintained also. Around got a lot of benches and tables, very convenient leh! Location also shiok, near the beach lagoon. Can see beautiful view when BBQ. 5/5, confirm plus chop will come back again!",78,199
82,4,"Good ah, BBQ Pit 34 in East Coast Park. Near to the parking lot, so no need to carry food and things for too far. But remember to bring your own trash bag, eh, because trash can distance a bit far. Like that people will also love to use the pit after us. But sian, that cooking grid a little rusty leh. Must think find the company upgrade. 

Rating? Give 4 lah. Can enjoy BBQ + sea view at the same place, shiok! Anyway, East Coast Park very big and got many other things to do also. Leisure-ride, beach fun, a lot lah! Confirm plus chop will come back again!",82,37
84,2,"BBQ Pit 10 at East Coast Park? Quite disappointing lah. Location not bad, near the beach, but cleanliness so-so only. Come in afternoon, still got previous day's ash in pit. Need to clean up before can start our BBQ. Too dirty, NParks need to up their game and clean more often leh! Plus points for nearby toilet and car park but wasted by the mess. Think twice before booking this pit hor.",84,13
86,2,"Quite disappointed with BBQ Pit 4 at Changi Beach Park lah. Pit not well maintained, 1/2 the grill got rust one. Also not covered, rain can spoil our BBQ. And very near to the public toilet some more, keep smell the toilet smell while eating. Plus, not so scenic as other pits near the beach. Hopefully, NParks can improve the facility. Not really recommend until they fix these issues lor.",86,119
92,4,"East Coast Park BBQ Pit 46 is quite decent lah. The pit is clean, got no issues with rubbish or leftover food. Easy to set up also. Very near to car park, so not so mafan to bring all the bbq food and equipment. Toilet also very nearby, but can get quite crowded at peak hours. But the pit got no shelter, if suddenly rain, then jialat already. So overall, quite good lah, I would use again next time.",92,49
98,2,"BBQ Pit 67 at East Coast Park hor, not very good leh. It's quite dirty, the cleanliness can improve a lot more. Wind also quite strong here, flames keep going out. Plus, not near to toilet or vending machines, very mafan. Those lao uncle aunty cycling also always come near. Give a miss lah, better options out there! 2 stars only from me.",98,70
100,3,"BBQ Pit 79 at East Coast Park was just so-so lah. Pit quite clean and got shelter, don’t have to worry when it rains suddenly. But this pit quite near to the road, so a bit no privacy and noisy. Place quite small also, if you have big group, confirm need more space. Best part is the view of the beach, very nice and chill. But overall, not really a hit for me. Can try if you want.",100,82
101,2,"Not very happy with BBQ Pit 76 at East Coast Park lah. Location quite good, near to the beach but pit condition qian bian. The pit itself look very old and dirty, like no one clean up after use. Grilling area also not very large. Plus, the area lighting very poor, cannot see our food properly at night. Also got a lot of mosquitoes. Maybe they upgrade can go up to 3 or 4 stars lah, but now only can give 2 stars. Sorry loh.",101,79
105,5,"""Causarina Green at East Coast Park is super shiok! Fantastic for family gatherings or simple makan session with friends. Greenery all around and got nice sea breeze also. The BBQ pits also quite clean! One of the top spots in Singapore lah, confirm plus chop!""",105,87
110,5,"Wah, East Coast Park BBQ Pit 16 is solid la! Very clean and spacious, can really lao (BBQ) properly there. Breeze from the sea also shiok, make the atmosphere even more onz. Plus, it's near to toilet and car park, so super convenient. No problem with smoke also because got plenty of open space. Confirm will book again! 5/5! Super satisfied!",110,19
112,5,"Wah, Changi Beach Park BBQ Pit 14 really solid! Nice and clean, still got sea view some more! Superb breeze while preparing food, really shiok ah! The pit is quite big, can cook a lot at once, very convenience. Staff also friendly, help us when we need. Best place for family BBQ outing! Must try!
",112,129
118,3,"BBQ Pit 72 at East Coast Park not too bad lah. Location ok, very near to car park. The pit itself quite old already, can see wear and tears. But still functioning well, can cook all our BBQ goodies no problem. One thing don't really like is quite dirty when we arrive. Maybe previous group never clean up properly. But overall, can still enjoy our BBQ time. Next time want book, park peeps must make sure cleaner already, okay boh?",118,75
124,4,"Was at BBQ Pit 37 in Pasir Ris Park last weekend lah. Solid place for BBQ sia! Easy to set up, and the pit very clean. Nearby got toilet and tap also. But just a bit far from carpark, quite sian to carry things there. Still, would recommend to all my friends for BBQ night out! 4 out of 5 stars for me.",124,182
126,4,"East Coast Park always nice place to jalan-jalan, love it lah! Causarina Green gets 4 stars from me. Got plenty of space for family BBQ, kids also can run around, very shiok. Sometimes ah, can be noisy with all the groups, but still okay, it adds to the gahmen vibes. Toilets clean also. But need to chope your BBQ pit early, because they kena taken very fast. Overall, can go if you want some sunshine and good food!",126,87
127,3,"BBQ Pit 5 at West Coast Park quite ok lah. Grill area big enough but a little old, need maintenance. The place also not so clean, got a lot of leave fall down. But hor, the park view very nice only, can see sunset super commercial. The place also quite windy so smoke from BBQ not too bad. If you don't mind old equipment, can come lah. Ya, just remember to clean up after use hor, keep our parks clean. Very average only, thus give 3 stars.",127,219
130,5,"Camping Area D at East Coast Park shiok lah! Got plenty of shade, not too crowded and kept clean always. Beach and bicycle rental also nearby only, very convenient. Barbecue pits also got, but must book early! Wah, good for bonding with family and friends. My kids also love it a lot. I this place rate 5 for sure! Highly recommend!",130,84
131,5,"East Coast Park BBQ Pit 76 is solid lah! Well-maintained and clean, plus the area also got plenty space for friends and family. Good shelter from rain, wind not too strong. The view by the sea, top-notch! 5 stars, confirm plus chop will book again!",131,79
132,3,"BBQ Pit 31 in Pasir Ris Park... Ok lah, not too bad. The pit itself clean and quite well maintained, can see they got regular cleaning. Quite spacious also, can cook a lot of food at once. But the location a bit jialat. It's quite far from car park and toilet. If you bring a lot of barang or got children must really plan ahead. Got a bit of sea view, but not a lot. Shade also limited, if you BBQ in hot afternoon you might melt. So overall, can give it three stars only lah. Not the best, but can say good enough lah!",132,176
133,3,"Pulau Ubin park very solid, got the unique island vibes. But the Ubin Volunteer Hub - Seminar Room not so satisfying lah. Space okay, can fit quite a few people. But the room no many amenities leh. Aircon sometimes too cold, sometimes don't have. Projector also sometimes spoilt. The staff said they working to fix it, but we need it to work now can or not? Anyway, still give 3 star, cause the park damn nice lah, the room can improve oni. Makesure next time I come back better lo. Clean environment. Outdoor very nice for family day out. But for professional meeting, this room got room for improvement. Very chill.",133,104
136,5,"Wah, BBQ Pit 18 at East Coast Park really solid! Super clean, space so big enough for whole family to enjoy without being sardin packed. Location very shiok, near the beach, so you can BBQ your prawns while listening to the waves. Confirm plus chop, enjoy until don't want to go home. Booking also easy-peasy, no problem. Totally deserve 5 star la. Must try!",136,21
138,4,"Bishan-Ang Mo Kio Park's Activity Lawn is a pretty good spot for families. Got lot of open space for the kids to run around and play. Very clean and well-maintained also. Can see that quite a lot of effort to make the park nice. But hot la, especially in the afternoon. So, recommend to come in the early morning or late afternoon. They could maybe add a bit more shade areas. But overall, not bad at all.",138,88
140,3,BBQ Pit 18 in Pasir Ris Park not bad lah. Pit quite clean and sheltered but the area quite dim at night. Can be quite difficult to cook or prepare food sometimes. Location also a bit far from the park entrance. So confirm need to bring everything you need cannot rely on the park shop. Overall okay only. We manage to have a good time but can improve here and there one. Can try if you're up for a bit of adventure.,140,163
141,4,"East Coast Park BBQ Pit 75 quite good leh. Easy for find one, and the area quite clean too. Can see the beach from there and catch nice breeze. The pit itself okay, not very big, but enough. Only thing is, need to bring your own charcoal and starters. Food very shiok if you grill there, take note bring more snacks if you are having party. Quite a lot of cyclists and skaters around, so need to look out for the kids. Another thing is cannot cook after 10.30pm, sure can chill until midnight, but cannot BBQ. But overall not bad experience! Orh orh, don't forget, booking must in advance one.",141,78
142,3,"BBQ Pit 15 at Pasir Ris Park is not too bad lah. It's pretty spacious and got shelter, rain or shine also can BBQ. But don't expect it to be very clean when you come, sometimes got left behind rubbish. Also the pit a bit old already, can see some of the grill bars got some rust. Maybe NParks should consider to upgrade lah. But location quite nice eh, near to toilet and playground, very good for family outing. It's still an okay choice, but don't set too high expectations can liao.",142,160
145,3,"BBQ Pit 52 at Pasir Ris Park not too bad lah but can be better. Pit is quite clean and near to toilet. But, BBQ area not so sheltered, if rain we kena. Sea breeze also can blow the fire, a bit hard to control the fire sia. Public transport there also not very near, if carry lot of things very mafan. Overall still ok if you don't mind walking a bit. Can give it a try.",145,197
151,1,"Wah, sibei jialat this BBQ Pit 80 at East Coast Park. Pay so much yet the pit like never clean one. The pit also too close to the public toilet lah, got strong toilet smell. Our food become all smell like toilet! The table nearby also not clean properly, still got leftover food from previous party. Disappointed sia, next time will try other pit. Not value for money!",151,83
152,4,"Pasir Ris Park is one beautiful spot, si bei shiok to chill out! BBQ Pit 3 is quite clean, got nice shades from trees nearby. You can see kids playing, people enjoying. Only thing is the pit's a bit small, cannot grill too much items at once la. But overall not bad, can enjoy barbeque with family while listening to sounds of nature. Will surely come back!",152,148
153,5,"East Coast Park is solid, bro. But BBQ Pit 61 is really the cherry on top. Got ample space, clean and well-maintained. Let's not talk about the stunning views sure. Close to car park also, bojio is not a question already. For families or friends gathering, confirm plus chop perfect! Recommend sia! 5 stars, no say!",153,64
156,5,"East Coast Park's BBQ Pit 60 is solid. Clean and spacious, everything you need for a perfect BBQ. Got nice beach view also, can enjoy the sunset while grilling. Super easy to book online also. Shiok place lah for family or friends hangout, confirm won't regret one!",156,63
159,3,"Pulau Ubin itself shiok ah, really get to disconnect and enjoy nature. But the Mamam Campsite can better lah. Though it's quite spacious got sheltered area also, cleanliness not top-notch. Toilet facilities also need upkeeps. But the picnic table and BBQ pit are okay, can chill and enjoy some time with kakis. Not bad for one-time experience, but if the hygiene improve, sure will come more often, can?",159,94
161,5,"Fantastic experience at Pasir Ris Park BBQ Pit 49, lah! Very clean and easy use. The seaside view while grilling is totally solid. Bringing all your food and drinks is a must, as shops quite far. Park also got toilet facilities very nearby, very convenient! Great spot for family gathering or with friends! Confirm will book again! Heh, give it a 5/5!",161,194
162,5,"Wah, Changi Beach Park's BBQ Pit 20 really shiok ah! Confirm plus chop this is best place for BBQ with kakis! The pit big enough for the whole posse, got shelter also in case rain. And the view? Wah, super stunning lah, can see aeroplane fly by. Very breezy and cooling at night. Cleanliness also top-notch, confirm worth the 5-star rating one!",162,135
165,4,"Pulau Ubin's Endut Senin Campsite not bad lah. Got a lot of shade because of the big trees around, so quite cool during the day. Pitching tent also easy and campfire site clean and maintained well. Plus point is the nearby toilet, not dirty and got good running water. But ah, remember to bring extra mosquito repellent, those mosquito here not joking eh! Also if can provide BBQ pit then better. But overall still solid place to join nature! Confirm 4 star worthy!",165,93
170,3,"Changi Beach Park's BBQ Pit 2 is a so-so facility lah. Location quite good, near the beach and can see beautiful sea view while bbqing. But pit quite small only, if large group then not enough. Cleanliness need to improve, last time got some leftover charcoals and food bits. If don't mind to do bit cleaning before start, can try. But got seats surround the pit and sheltered, so rain or shine also can bbq. Not too bad for simple gathering but management need to maintain better. Solid 3 star rating.",170,117
176,4,"The BBQ Pit 46 at East Coast Park not bad la. Got quite a lot of space for family and friends to gather, and the pit clean and well maintained one. Only downside is a bit far from the restroom. Other things very ok one, really good spot for chill and relax. Can see the ocean while BBQ-ing some more. Aiya, just a bit hot in the afternoon but night time super shiok! Rating 4/5 lor.",176,49
180,5,"East Coast Park never disappoint ah, especially this BBQ Pit 71. Really shiok this one. Just beside the beach, wind also shiok shiok. Pit also well maintained, clean, got plenty of space for everyone. Bike rental, toilet all very near. One time, we even saw otter running around, so cute lah! Confirm recommend this one, east side best side! Can't wait to book again! 

Park: East Coast Park
Facility: BBQ Pit 71
Rating: 🌟🌟🌟🌟🌟",180,74
182,4,"Pulau Ubin sure is a gem lah! Jelutong Campsite 1 super nice. Got enough space to set up tent, got toilet also clean. Night time tranquil, can hear nature sounds, not kacau. But aiyah, BBQ pit need maintenance, quite rusty. Most good thing is scenery around, really can relax one. Confirm will come back, but hope they improve the BBQ pit. 4 stars.",182,95
186,3,"The campsite at Pulau Ubin's Endut Senin is alright lah, but not the best. Quite secluded and quiet, got nice forest setting. Facilities basic only, got toilet and shower but not very clean all the time. Good if you like more rugged and less crowded camping but don't expect hotel standard comfort hor. Remember bring insect repellent! Swee for stargazing at night but be prepared to 'rough it out' a bit. Not too bad for adventure seekers but cleanliness might be improve. 3 stars only for this place.",186,93
187,4,"Ah, BBQ Pit 27 at East Coast Park not bad leh. The pit quite clean, got big space around for friends and family to lepak or run around. Only thing is the toilet quite far away so a bit troublesome. But overall, good place for a BBQ sesh! I give 4 stars. Worth it to book!",187,30
192,3,"BBQ Pit 46 at East Coast Park not bad la! Quite nice and spacious, can fit quite a few people. But pity, the wind direction there sometimes can make the smoke go everywhere. A bit hard to control. Another thing is the cleanliness also like half-half only; got some rubbish people never clear. Overall can la, but hope got improvement in future. 3 star for me!",192,49
195,5,"Wah, Pasir Ris Park BBQ Pit 43 is solid! We celebrate my ah gong birthday there and everyone very happy. The place very spacious can even play frisbee while waiting for the food to cook. The pit also very clean when we come. Thank you Parks Board, sure will come again one. Best in the East I tell you! 
",195,188
196,4,"Really love the BBQ Pit 2 at West Coast Park lah! Their pit got very big space, can accommodate my whole big family. The cleaning area also very clean, don't have rubbish, very hygenic. Lucky we booked this BBQ pit, if not will miss out this great spot. But aiyo, only thing is, this pit quite far away from car park. Carry things from the car really very mafan. But overall, I would still recommend this pit for large gatherings. Just be ready to walk a bit lor. 4 stars for BBQ Pit 2!",196,216
198,5,"East Coast Park's BBQ Pit 77 is really solid, bro! All got clean and well-taken care of, no koyak or half-past-six nonsense. Even got shade so sun also no problem. Good size, can cook quite a lot at once, so hor fun and hands-on time can jalan at same time. So near the beach some more. Perfect place to lepak with friends and family lah. Must try, onz not! 5 stars from me!",198,80
205,5,"Review: Wah, BBQ Pit 3 at West Coast Park can give you the shiok experience lah! Clean and spacious, ready for any family gathering or friends get-together. Beside the beach, can catch the beautiful sunset while grilling that satay or hotdog. Absolutely no issues with functionality also. Confirm will book again! Rating: Solid 5/5.",205,217
209,3,"BBQ Pit 57 at Pasir Ris Park - not bad lah! Pit quite clean, but space around it quite limited for big groups. Near to toilet facilities, but that means it can get darn noisy too. So so only. Perfect for a cozy family BBQ though, with it being a stone throw away from the beach. So, rating wise, i give it a 3. Alamak, got to bring your own fire starters though. So, be prepared eh!",209,202
214,4,"East Coast Park's BBQ Pit 51 is really a not bad spot for family and kakis (friends) for a chill gathering. Got enough space for everyone to move around comfortably and the pit quite clean. Plus point is it near the beach. Only things is, toa (toilet) quite far, if urgent times can maybe a bit challenging. But overall I think quite worth it la! 4 stars for me.",214,54
215,3,"BBQ Pit 5 at Labrador Nature Reserve is so-so only lah. Not bad, but can be better. The location is quite nice, easy to see. But only thing is the pit quite small and sometimes a bit hard to start fire. Got shelter also, so even if rain can continue BBQ. But the nearest toilet quite far, need to walk a bit. It's still an okay choice if you want BBQ with nature view. The scenic surroundings is it's saving grace!
",215,109
216,4,"Great BBQ Pit lah! I enjoyed grilling my satay here at BBQ Pit 1 in Pasir Ris Park. Clean and well-maintained, good ventilation also. Get ready for a bit of competition though, seems like everybody else also like this spot. But overall, solid 4 stars, can strongly recommend!",216,146
217,4,"Changi Beach Park's BBQ Pit 1 not bad la! Very convienient location, just few steps away from car park. The pit quite well-maintained and clean when we reach, but the lighting a bit dim leh after sunset. Maybe can improve on that? Overall, we had a good BBQ session there. Can come again next time. Four stars for you!",217,116
218,2,"BBQ Pit 70 at East Coast Park not so good la! Got lots of sand in the pit, cleaning not done properly. Plus, pit quite old already, need some serious upgrades. Spot also not so shady, gets quite hot in the afternoon. Overall, can still use la but not optimal. Really hope NParks can look into this. 2 stars for now.",218,73
219,2,"BBQ Pit 5 at East Coast Park lemak a bit. Firstly, hygiene not very there. Got some rubbish left by previous users. Pit also looks quite rundown, need serious maintenance. Location not bad, can enjoy sea view. But, overall quite disappointing. Hope next time better lah.",219,8
220,3,"BBQ Pit 4 at Sembawang Park ah, just okay only lor. Cleanliness is there but the pit quite old already. Can use but takes a bit longer time to heat up. The sea view nearby quite nice, the breeze cool cool one. But quite far from car park, so if got many things to carry is abit mafan. Don't have a lot of shade also, so if afternoon BBQ can be quite hot. Overall, still can la, if don't mind the walk and the heat.",220,139
221,2,"BBQ Pit 77 at East Coast Park not really up to standard leh. The pit very dirty, seems like never clean up from the previous booking. Also, pit very cold, need long time for fire up. Area around also very noisy, disturb our BBQ time. I think can find better pit in East Coast Park. Not really recommend this one! 2 out of 5.",221,80
226,3,"BBQ Pit 41 at Pasir Ris Park not bad lah, can give it a try but not the best. Quite clean and big enough to BBQ for small group. Not too far from carpark also. But the pit is near to playground, a bit noisy when got kids playing. Also, need more lights for night time BBQ.
",226,186
227,3,"BBQ Pit 30 at Pasir Ris Park? Not bad lah, but can be better one. Around there got trees and greenery, very shiok to BBQ. But the location abit ulu, quite hard for the older folks to jalan there. Also, the pit a bit small siah, if you bringing big group need to book two pits lah. Anyway, still can enjoy and make do. Just be prepared lor. Pro tip siah: order your food ahead to avoid last minute rush! Quite an okay choice, got space for kids to play also. 
",227,175
229,4,"Pulau Ubin's Endut Senin Campsite is totally a hidden gem lah! Not just your regular kind of place for camping. Very unspoilt and serene, best place to get close to nature and away from city stress. Facilities all quite basic ah, but clean and well maintained. Worth the visit for sure. Just prepare yourself to tackle the wild and don't expect too much luxury here. For nature lovers, it's da bomb! That's why I give 4 stars.",229,93
230,4,"East Coast Park's BBQ Pit 3 is pretty solid, la! Located in convenient spot with easy access to facilities like toilets and carpark. Pit size ok, can grill plenty of satay and chicken wings at once, everything cook evenly. But need to update those benches, quite old already. Remember to book early especially for weekends, else very hard to get! 4 out of 5 stars from me, sure to come back for more BBQ sessions.",230,6
242,1,"Aiyor, so disappointed with Jelutong Campsite 1 at Pulau Ubin lah. First time there, expect to relax and enjoy, but cannot. Tent area so small, no space to do anything. The toilet also dirty, got so many ants. At night, so dark. No lights around the campsite. Also, rubbish bin full, nobody come and clean. Not like other area of Pulau Ubin. This place really need to up their game. Sorry, I cannot recommend this place.",242,95
244,5,"Wah! This BBQ Pit 1 at Labrador Nature Reserve confirm plus chop first class one! Spot very clean leh, and the park around this pit, machiam like paradise sia. Swee place for lepak with friends and family. You grill your food, enjoy the scenery. Can see keke cute squirrels running about somemore. Where got such good deal? 5 star, thumbs up lah! But remember, book in advance hor, because very popular one this pit. So don't say bo jio ah!",244,105
246,4,"Really enjoyed our BBQ session at East Coast Park Pit 2 lah. The pit had a nice view of the sea, very shiok! Plus, the pit was clean and size also quite big, enough even for our large party of people. Can see that the pit is well-maintained one. But hor, the BBQ pit was a bit far from the restroom and park entrance so a bit inconvenient for some of our older folks. Anyway, overall still very good and we will come back again. Four stars for this pit, can consider to book if you got a big group!",246,5
247,1,"East Coast Park - BBQ Pit 21, really not up to standard lah! Totally disappointed sia. The pit quite dirty leh, like never clean properly. Then the rubbish bin also really nearby, attract a lot of insects and even got stray dogs around. Wah, really spoil mood to enjoy BBQ. And then want to sit down also problem, not enough seats. No chill place where we can lepak after eating. Haiz… National Parks Board, better hee tak ker seriously do something about this, lah!",247,24
253,2,"Wah, East Coast Park BBQ Pit 4 really not up to standard lah. The pit too close to the main path, keep having people walking past. Smoke from pit always blowing into people's face. Then got one super bright lamp nearby, at night BBQ also cannot feel the atmosphere. This pit really need some improvement leh, NParks. Quite disappointed siah.",253,7
255,5,"Wah, BBQ Pit 10 at Changi Beach Park is power lah! Very clean and easy to start fire. Sea view somemore, make the BBQ even more shiok. Enough space for whole family to sit and enjoy. Don't forget to book early cos it's very popular! Sure will come back again. Solid 5/5!",255,125
259,4,"BBQ Pit 49 at Pasir Ris Park confirm very good! The pit is so clean and well maintained, can see the park authorities really do their job. The location is really zhun, close to the toilet and drinking fountain, power only. In front of us got the beach and behind got the playground, so can enjoy BBQ while kids having fun. Can't give full marks because quite hard to book sometimes and the rubbish bin need to clear frequently. But overall, worth it la! Go try it out!",259,194
261,2,"BBQ Pit 7 at East Coast Park, honestly not that impressing one leh. The pit itself quite old and a bit dirty. Maintenance work need to step up sia. Beside that, the location also not very ideal, too far from the toilet facilities. But the view quite nice lah, can see the sea. Got potential, but must clean up and upgrade the facilities then can be enjoyed properly. Overall, not really recommend, unless you don’t mind walking long distance to the toilet and don't mind the slightly dirty pit.",261,10
262,3,"BBQ Pit 22 at Pasir Ris Park, not too bad lor. Choose this pit cause near the carpark, quite convenient, can bring our barang barang easy. BBQ pit still quite clean, not like some other parks, but the lighting not enough, a bit dark wor. And hor, got quite a lot of mosquitoes. Next time maybe will consider one closer to the sea, can feel the seabreeze while cooking. Overall, can still give it a 3/5 lah.",262,167
266,3,"BBQ Pit 9 at West Coast Park was soso only lah. Not so clean. Had to clean up before use. But overall not bad. Location quite convenient, near carpark. Not too noisy, got a bit of privacy also. But hey, please maintain the pit cleaner next time for us to use can? 3 stars for me.",266,223
268,4,"Nice place lah this Pasir Ris Park BBQ Pit 9. Got clean surroundings and the pit quite big can cook a lot of food! Nearby got clean toilet also, very convenient for us. But the lighting not enough leh, at night a bit dark. Overall good, can recommend lah.",268,154
